document_name,page_number,detection_type
F1962001.json,6,Deux Colonnes
F1962001.json,10,Deux Colonnes soft
F1962003.json,2,Deux Colonnes
F1962004.json,7,Deux Colonnes
F1962005.json,1,Deux Colonnes
F1962005.json,9,Deux Colonnes
F1962005.json,12,Deux Colonnes
F1962005.json,13,Deux Colonnes
F1962006.json,2,Ligne Horizontale (3+ layouts)
F1962007.json,5,Deux Colonnes
F1962007.json,9,Deux Colonnes
F1962008.json,1,Deux Colonnes
F1962008.json,3,Deux Colonnes soft
F1962008.json,4,Deux Colonnes soft
F1962009.json,6,Deux Colonnes
F1962009.json,13,Deux Colonnes
F1962010.json,4,Deux Colonnes
F1962011.json,2,Deux Colonnes
F1962011.json,4,Deux Colonnes
F1962011.json,7,Deux Colonnes
F1962012.json,3,Deux Colonnes
F1962012.json,5,Deux Colonnes
F1962012.json,15,Deux Colonnes
F1962013.json,14,Deux Colonnes
F1962014.json,22,Deux Colonnes soft
F1962014.json,23,Deux Colonnes soft
F1962014.json,24,Deux Colonnes soft
F1962014.json,26,Deux Colonnes soft
F1962014.json,27,Deux Colonnes soft
F1962014.json,28,Deux Colonnes soft
F1962015.json,4,Deux Colonnes
F1962015.json,5,Deux Colonnes
F1962016.json,4,Ligne Horizontale (3+ layouts)
F1962016.json,5,Deux Colonnes
F1962016.json,6,Deux Colonnes
F1962016.json,16,Deux Colonnes
F1962016.json,30,Deux Colonnes
F1962016.json,31,Deux Colonnes
F1962018.json,9,Ligne Horizontale (3+ layouts)
F1962018.json,16,Deux Colonnes
F1962018.json,17,Deux Colonnes
F1962018.json,18,Deux Colonnes
F1962019.json,10,Deux Colonnes
F1962019.json,11,Deux Colonnes
F1962019.json,19,Deux Colonnes
F1962019.json,21,Deux Colonnes
F1962019.json,25,Deux Colonnes
F1962019.json,28,Deux Colonnes
F1962020.json,2,Deux Colonnes
F1962020.json,5,Deux Colonnes
F1963001.json,9,Deux Colonnes
F1963001.json,14,Deux Colonnes soft
F1963002.json,2,Deux Colonnes
F1963003.json,2,Deux Colonnes
F1963003.json,9,Deux Colonnes
F1963004.json,6,Deux Colonnes
F1963005.json,3,Deux Colonnes soft
F1963005.json,4,Deux Colonnes
F1963005.json,5,Deux Colonnes
F1963005.json,9,Deux Colonnes
F1963005.json,11,Deux Colonnes
F1963005.json,12,Deux Colonnes
F1963005.json,13,Deux Colonnes
F1963005.json,16,Deux Colonnes
F1963005.json,18,Deux Colonnes
F1963005.json,19,Deux Colonnes
F1963005.json,20,Deux Colonnes
F1963005.json,22,Deux Colonnes
F1963006.json,2,Deux Colonnes
F1963006.json,3,Deux Colonnes
F1963006.json,4,Deux Colonnes
F1963006.json,5,Deux Colonnes
F1963006.json,6,Deux Colonnes
F1963006.json,8,Deux Colonnes
F1963006.json,12,Deux Colonnes
F1963006.json,13,Deux Colonnes
F1963006.json,14,Deux Colonnes
F1963006.json,15,Deux Colonnes
F1963007.json,3,Deux Colonnes
F1963007.json,4,Deux Colonnes
F1963007.json,5,Deux Colonnes
F1963007.json,6,Deux Colonnes
F1963007.json,7,Deux Colonnes
F1963007.json,10,Deux Colonnes
F1963008.json,4,Deux Colonnes
F1963008.json,9,Deux Colonnes
F1963008.json,10,Deux Colonnes
F1963008.json,12,Deux Colonnes
F1963008.json,19,Deux Colonnes
F1963008.json,20,Deux Colonnes
F1963008.json,21,Deux Colonnes soft
F1963009.json,5,Deux Colonnes
F1963009.json,12,Deux Colonnes
F1963009.json,13,Deux Colonnes
F1963010.json,3,Ligne Horizontale (3+ layouts)
F1963010.json,7,Deux Colonnes soft
F1963010.json,8,Deux Colonnes
F1963010.json,9,Deux Colonnes
F1963010.json,10,Deux Colonnes
F1963010.json,11,Deux Colonnes
F1963011.json,1,Deux Colonnes
F1963011.json,2,Deux Colonnes
F1963011.json,3,Deux Colonnes
F1963011.json,6,Deux Colonnes soft
F1963013.json,3,Deux Colonnes
F1963013.json,4,Deux Colonnes
F1963013.json,5,Deux Colonnes
F1963013.json,6,Deux Colonnes
F1963015.json,3,Deux Colonnes
F1963015.json,6,Deux Colonnes
F1963016.json,2,Deux Colonnes
F1963017.json,5,Deux Colonnes
F1963017.json,6,Deux Colonnes soft
F1963019.json,3,Deux Colonnes
F1963019.json,4,Deux Colonnes
F1963019.json,7,Deux Colonnes soft
F1963020.json,4,Deux Colonnes
F1963020.json,5,Deux Colonnes
F1963021.json,11,Deux Colonnes
F1963021.json,12,Deux Colonnes
F1963022.json,4,Deux Colonnes
F1963023.json,2,Deux Colonnes
F1963023.json,5,Deux Colonnes
F1963023.json,6,Deux Colonnes
F1963024.json,2,Deux Colonnes
F1963024.json,3,Deux Colonnes
F1963024.json,4,Deux Colonnes soft
F1963024.json,12,Deux Colonnes soft
F1963024.json,13,Deux Colonnes soft
F1963025.json,3,Deux Colonnes soft
F1963025.json,6,Deux Colonnes soft
F1963026.json,5,Deux Colonnes soft
F1963027.json,1,Deux Colonnes
F1963027.json,3,Deux Colonnes
F1963027.json,5,Deux Colonnes
F1963028.json,1,Deux Colonnes
F1963028.json,2,Deux Colonnes soft
F1963028.json,3,Deux Colonnes
F1963028.json,5,Deux Colonnes
F1963029.json,2,Deux Colonnes
F1963029.json,3,Deux Colonnes
F1963029.json,8,Deux Colonnes
F1963029.json,19,Deux Colonnes soft
F1963029.json,26,Deux Colonnes
F1963029.json,27,Deux Colonnes
F1963030.json,21,Deux Colonnes
F1963030.json,24,Deux Colonnes
F1963032.json,11,Deux Colonnes
F1963032.json,12,Deux Colonnes
F1963033.json,12,Deux Colonnes
F1963034.json,2,Deux Colonnes
F1963034.json,3,Deux Colonnes
F1963034.json,6,Deux Colonnes
F1963034.json,7,Deux Colonnes
F1963034.json,14,Deux Colonnes
F1963036.json,15,Deux Colonnes
F1963037.json,2,Deux Colonnes
F1963037.json,3,Deux Colonnes
F1963037.json,9,Deux Colonnes
F1963038.json,2,Deux Colonnes
F1963040.json,3,Deux Colonnes
F1963040.json,5,Deux Colonnes
F1963041.json,2,Deux Colonnes
F1963041.json,6,Deux Colonnes
F1963043.json,7,Deux Colonnes
F1963043.json,11,Deux Colonnes
F1963043.json,14,Deux Colonnes
F1963043.json,15,Deux Colonnes
F1963045.json,3,Deux Colonnes
F1963045.json,6,Deux Colonnes
F1963045.json,7,Deux Colonnes
F1963046.json,1,Deux Colonnes
F1963046.json,5,Deux Colonnes
F1963046.json,7,Deux Colonnes
F1963047.json,3,Deux Colonnes
F1963047.json,4,Deux Colonnes
F1963047.json,13,Deux Colonnes
F1963047.json,15,Deux Colonnes
F1963048.json,1,Ligne Horizontale (3+ layouts)
F1963048.json,7,Deux Colonnes
F1963049.json,6,Deux Colonnes
F1963050.json,4,Deux Colonnes
F1963050.json,5,Deux Colonnes soft
F1963050.json,6,Deux Colonnes soft
F1963050.json,7,Deux Colonnes
F1963051.json,4,Deux Colonnes
F1963051.json,6,Deux Colonnes
F1963052.json,8,Deux Colonnes
F1963052.json,12,Deux Colonnes
F1963052.json,13,Deux Colonnes
F1963053.json,4,Deux Colonnes
F1963054.json,3,Deux Colonnes
F1963056.json,4,Deux Colonnes
F1963058.json,2,Deux Colonnes
F1963058.json,3,Deux Colonnes
F1963058.json,4,Deux Colonnes
F1963058.json,5,Deux Colonnes
F1963058.json,6,Deux Colonnes
F1963058.json,7,Deux Colonnes
F1963058.json,8,Deux Colonnes
F1963058.json,9,Deux Colonnes
F1963059.json,3,Deux Colonnes soft
F1963059.json,4,Deux Colonnes
F1963059.json,8,Deux Colonnes
F1963060.json,7,Deux Colonnes
F1963060.json,9,Deux Colonnes
F1963060.json,10,Deux Colonnes
F1963061.json,5,Deux Colonnes
F1963062.json,4,Deux Colonnes
F1963062.json,5,Deux Colonnes
F1963062.json,7,Deux Colonnes
F1963063.json,3,Ligne Horizontale (3+ layouts)
F1963064.json,15,Deux Colonnes
F1963064.json,23,Deux Colonnes
F1963065.json,4,Deux Colonnes
F1963065.json,5,Deux Colonnes
F1963065.json,6,Deux Colonnes
F1963065.json,7,Deux Colonnes
F1963065.json,12,Deux Colonnes
F1963065.json,16,Deux Colonnes
F1963065.json,21,Deux Colonnes
